,Name,Course Name,Position,Strokes Under,Total Strokes,First Round,Second Round,Third Round,Fourth Round,Fourth Round Tee Time,Amateur Status,Tournament Status,ID
196,Jaime Montojo,Royal Troon,CUT,+13,155,74,81,,,,True,cut,66106
197,Liam Nolan,Royal Troon,CUT,+13,155,78,77,,,,True,cut,65529
198,Dominic Clemons,Royal Troon,CUT,+13,155,77,78,,,,True,cut,67090
199,Lucas Glover,Royal Troon,CUT,+13,155,77,78,,,,False,cut,25900
200,Gordon Sargent,Royal Troon,CUT,+13,155,80,75,,,,True,cut,64442
201,David Puig,Royal Troon,CUT,+13,155,80,75,,,,False,cut,61193
202,Tiger Woods,Royal Troon,CUT,+14,156,79,77,,,,False,cut,08793
203,Santiago de la Fuente,Royal Troon,CUT,+14,156,78,78,,,,True,cut,61520
204,Sahith Theegala,Royal Troon,CUT,+14,156,77,79,,,,False,cut,51634
205,Mason Andersen,Royal Troon,CUT,+14,156,76,80,,,,False,cut,52370
206,Wyndham Clark,Royal Troon,CUT,+16,158,78,80,,,,False,cut,51766
207,Denwit David Boriboonsub,Royal Troon,CUT,+16,158,78,80,,,,False,cut,58065
208,Justin Leonard,Royal Troon,CUT,+16,158,80,78,,,,False,cut,10860
209,Keita Nakajima,Royal Troon,CUT,+17,159,80,79,,,,False,cut,49228
210,Guntaek Koh,Royal Troon,CUT,+18,160,81,79,,,,False,cut,51190
211,Dan Bradbury,Royal Troon,CUT,+18,160,83,77,,,,False,cut,63459
212,Todd Hamilton,Royal Troon,CUT,+20,162,82,80,,,,False,cut,01473
213,Aguri Iwasaki,Royal Troon,CUT,+23,165,74,91,,,,False,cut,59743
214,Romain Langasque,Royal Troon,WD,-,36,36,,,,,False,wd,37250
215,Ernie Els,Royal Troon,WD,-,82,82,,,,,False,wd,06522
216,John Daly,Royal Troon,WD,-,82,82,,,,,False,wd,01249
217,Bryson DeChambeau,Pinehurst Resort & Country Club (Course No. 2),1,-6,274,67,69,67,71,2:21pm,False,complete,47959
218,Rory McIlroy,Pinehurst Resort & Country Club (Course No. 2),2,-5,275,65,72,69,69,2:10pm,False,complete,28237
219,Tony Finau,Pinehurst Resort & Country Club (Course No. 2),T3,-4,276,68,69,72,67,1:48pm,False,complete,29725
220,Patrick Cantlay,Pinehurst Resort & Country Club (Course No. 2),T3,-4,276,65,71,70,70,2:10pm,False,complete,35450
